index,Publishing Year,Book_average_rating,Book_ratings_count,gross sales,publisher revenue,sale price,sales rank,units sold,Popularitas_Buku
124,2011.0,3.52,100886,841.5,504.9,0.99,130,850.0,1
125,2006.0,3.82,150222,3161.19625,1802.9512499999998,11.99,131,845.0,1
126,2008.0,3.71,114531,3161.19625,1802.9512499999998,7.99,132,840.0,1
127,2001.0,3.78,117657,816.75,0.0,0.99,135,825.0,1
128,1995.0,3.81,128961,1641.75,985.05,1.99,135,825.0,1
129,1980.0,3.55,129811,3161.19625,1802.9512499999998,6.99,137,815.0,1
130,1972.0,4.22,146073,2421.9,0.0,2.99,138,810.0,1
131,1999.0,4.12,110651,3161.19625,1802.9512499999998,10.65,139,805.0,1
132,1980.0,4.07,137372,3161.19625,0.0,3.99,140,800.0,1
133,1958.0,3.89,129778,792.0,475.2,0.99,140,800.0,1
134,2010.0,4.04,126993,3161.19625,0.0,3.99,141,795.0,1
135,2005.0,4.0,137639,1572.1,943.26,1.99,142,790.0,1
136,2009.0,4.08,151721,3161.19625,1802.9512499999998,11.99,143,785.0,1
137,2014.0,3.78,108703,3112.2,0.0,3.99,144,780.0,1
138,1982.0,4.2,119930,3161.19625,1802.9512499999998,10.67,145,775.0,1
139,1979.0,3.9,132723,1512.4,907.44,1.99,148,760.0,1
140,1947.5,3.98,135514,3012.45,0.0,3.99,149,755.0,1
141,1947.5,4.16,138444,3161.19625,0.0,4.99,150,750.0,1
142,2013.0,4.26,113252,2992.5,0.0,3.99,150,750.0,1
143,2001.0,4.16,121398,3161.19625,1802.9512499999998,4.99,151,745.0,1
144,1980.0,3.85,142213,2952.6,1771.56,3.99,152,740.0,1
145,2013.0,4.19,141641,727.65,0.0,0.99,153,735.0,1
146,2009.0,4.27,109642,3161.19625,0.0,4.99,154,730.0,1
147,2014.0,3.98,115393,3161.19625,1802.9512499999998,7.51,155,725.0,1
148,1947.5,4.22,156726,712.8,0.0,0.99,156,720.0,1
149,1947.5,4.17,87445,702.9,0.0,0.99,158,710.0,1
150,1947.5,4.16,165127,697.95,418.77,0.99,159,705.0,1
151,2004.0,3.8,133683,3161.19625,1802.9512499999998,7.99,160,700.0,1
152,2001.0,4.02,116800,1353.2,811.92,1.99,164,680.0,1
153,2013.0,4.54,159774,668.25,400.95,0.99,165,675.0,1
154,2008.0,3.85,144606,3161.19625,1802.9512499999998,5.49,166,670.0,1
155,2003.0,3.98,118045,658.35,395.01,0.99,167,665.0,1
156,2005.0,4.06,130293,3161.19625,1802.9512499999998,11.84,168,660.0,1
157,2003.0,3.98,112167,648.45,0.0,0.99,169,655.0,1
158,2012.0,3.67,116053,3161.19625,1802.9512499999998,14.99,169,655.0,1
159,2006.0,3.69,110873,3161.19625,0.0,4.99,170,650.0,1
160,1999.0,4.31,131481,1943.5,0.0,2.99,170,650.0,1
161,2008.0,4.04,121966,3161.19625,0.0,4.99,171,645.0,1
162,1987.0,3.77,128244,3161.19625,1802.9512499999998,6.99,172,640.0,1
